numero,cultivar,especie,condicion_genetica,nombre_cientifico,grupo,inscripcion_rnc,inscripcion_rnpc,validez_rnpc,pais,caracteristicas,evento_transgenico,evento_transgenico_caracteristica,solicitante_rnc,representante_rnc,solicitante_rnpc,representante_rnpc
14134,H 910T,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-09,,,ARG,,,,HORUS CO SA,PALMER JUAN FEDERICO,,
14135,SAN JAVIER 1,ARROZ,,Oryza sativa L.,CE,2013-06-28,2013-06-28,2033-06-28,ARG,,,,MINISTERIO DE LA PRODUCCION,CONTIGIANI LUIS,MINISTERIO DE DESARROLLO PRODUCTIVO DE LA PROVINCIA DE SANTA FE,PUCCINI GUSTAVO JOSE
14136,ACA 867,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-10-09,,,ARG,,,,ASOCIACIÓN DE COOPERATIVAS ARGENTINAS COOPERATIVA LIMITADA,ACCASTELLO VICTOR,,
14137,ADV 2800,SORGO,FORRAJERO HIBRIDOS,Sorghum spp,FO,2012-11-07,,,ARG,,,,ADVANTA SEMILLAS S.A.I.C.,DICUN RUBEN DARIO,,
14138,ADV 2499,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-04,,,ARG,,,,ADVANTA SEMILLAS S.A.I.C.,DICUN RUBEN DARIO,,
14139,ADV 1201,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-04,,,ARG,,,,ADVANTA SEMILLAS S.A.I.C.,DICUN RUBEN DARIO,,
14140,740 CL,GIRASOL,HIBRIDO SIMPLE,Helianthus annuus L.,OL,2012-10-09,,,ARG,,,,LIMAGRAIN ARGENTINA SEMILLAS S.A.,MIGUEL JUAN POTOCNIK,,
14141,MESTIZO,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-11-28,,,ARG,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14142,LINDOR,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-11-28,,,ARG,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14143,CHALTEN,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-11-28,,,ARG,,,,JOSE R.PICASSO S.A.,GUSTAVO PICASSO,,
14144,SURCOS M 5390 BT,MAIZ,HIBRIDO DOBLE,Zea mays L.,CE,2012-10-09,,,ARG,TR,MON-ØØ81Ø-6,Resistencia a Lepidópteros ,RED SURCOS SA,CALVO  CARLOS HUGO,,
14145,CARAYA,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-04,,,ARG,,,,GRUPO AGROS SRL,CASTRO HERNAN,,
14146,HORNERO,SORGO,GRANIFERO HIBRIDO,Sorghum bicolor,CE,2012-10-04,,,ARG,,,,GRUPO AGROS SRL,CASTRO HERNAN,,
14147,BAS-6103,MAIZ,PISINGALLO/REVENTON HIBRIDO,Zea mays L.,HT,2012-10-09,,,ARG,,,,SEMILLAS BASSO S.A.C.I.A.I.F.,BASSO LORENA,,
14150,CABURE INTA,LINO,,Linum usitatissimum L.,OL,2013-04-29,2013-04-29,2033-04-29,ARG,,,,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA,INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA,RAGONESE MARIA ELENA
